source,bare_exists
%str1%%str2%Suffused Obsidian Medium Gloves%str3%%str4%,
%str1%%str2%Suffused Obsidian Medium Jacket%str3%%str4%,
%str1%%str2%Suffused Obsidian Medium Leggings%str3%%str4%,
%str1%%str2%Suffused Obsidian Medium Mask%str3%%str4%,
%str1%%str2%Suffused Obsidian Medium Shoulders%str3%%str4%,
%str1%%str2%Summit Targe%str3%%str4%,
%str1%%str2%Sun Catcher%str3%%str4%,
%str1%%str2%Sun-Blessed Vision%str3%%str4%,
%str1%%str2%Sun-Blessed Zephyrite Gloves%str3%%str4%,
%str1%%str2%Sun-Touched Zephyrite Gloves%str3%%str4%,
%str1%%str2%Sunder%str3%%str4%,
%str1%%str2%Sunrise%str3%%str4%,
%str1%%str2%Sunscythe%str3%%str4%,
%str1%%str2%Sunspear Carver%str3%%str4%,
%str1%%str2%Sunspear Cutlass%str3%%str4%,
%str1%%str2%Sunspear Firelight%str3%%str4%,
%str1%%str2%Sunspear Greatblade%str3%%str4%,
%str1%%str2%Sunspear Horn%str3%%str4%,
%str1%%str2%Sunspear Matchlock%str3%%str4%,
%str1%%str2%Sunspear Pocketbow%str3%%str4%,
%str1%%str2%Sunspear Recurve%str3%%str4%,
%str1%%str2%Sunspear Rod%str3%%str4%,
%str1%%str2%Sunspear Runestone%str3%%str4%,
%str1%%str2%Sunspear Sidearm%str3%%str4%,
%str1%%str2%Sunspear Smasher%str3%%str4%,
%str1%%str2%Sunspear Standard%str3%%str4%,
%str1%%str2%Sunspear Thrasher%str3%%str4%,
%str1%%str2%Sunspear Wallshield%str3%%str4%,
%str1%%str2%Sunspear Warsickle%str3%%str4%,
%str1%%str2%Sunspear%str3%%str4%,
%str1%%str2%Super Assassin Backpack%str3%%str4%,
%str1%%str2%Super Axe%str3%%str4%,
%str1%%str2%Super Backpack Cover%str3%%str4%,
%str1%%str2%Super Dagger%str3%%str4%,
%str1%%str2%Super Focus%str3%%str4%,
%str1%%str2%Super Greatsword%str3%%str4%,
%str1%%str2%Super Hammer%str3%%str4%,
%str1%%str2%Super Hyperbeam Alpha%str3%%str4%,
%str1%%str2%Super Long Bow%str3%%str4%,
%str1%%str2%Super Mace%str3%%str4%,
%str1%%str2%Super Pistol%str3%%str4%,
%str1%%str2%Super Rifle%str3%%str4%,
%str1%%str2%Super Scepter%str3%%str4%,
%str1%%str2%Super Shield%str3%%str4%,
%str1%%str2%Super Short Bow%str3%%str4%,
%str1%%str2%Super Staff%str3%%str4%,
%str1%%str2%Super Sword%str3%%str4%,
%str1%%str2%Super Torch%str3%%str4%,
%str1%%str2%Super Warhorn%str3%%str4%,
%str1%%str2%Swindler Boots%str3%%str4%,
%str1%%str2%Swindler Coat%str3%%str4%,
%str1%%str2%Swindler Gloves%str3%%str4%,
%str1%%str2%Swindler Mask%str3%%str4%,
%str1%%str2%Swindler Pants%str3%%str4%,
%str1%%str2%Swindler Pauldrons%str3%%str4%,
%str1%%str2%Sword of the Dragon's Deep%str3%%str4%,
%str1%%str2%Sword%str3%%str4%,
%str1%%str2%Synergetic Tempered Spinal Blades%str3%%str4%,
%str1%%str2%Synergetics Energized Shield%str3%%str4%,
%str1%%str2%Tear of Grenth%str3%%str4%,
%str1%%str2%Tempered Scale Chestplate%str3%%str4%,
%str1%%str2%Tempered Scale Gauntlets%str3%%str4%,
%str1%%str2%Tempered Scale Greaves%str3%%str4%,
%str1%%str2%Tempered Scale Helm%str3%%str4%,
%str1%%str2%Tempered Scale Legs%str3%%str4%,
%str1%%str2%Tempered Scale Pauldrons%str3%%str4%,
%str1%%str2%Tempered Spinal Blades%str3%%str4%,
%str1%%str2%Tempest Axe%str3%%str4%,
%str1%%str2%Tempest Dagger%str3%%str4%,
"%str1%%str2%Tempest Focus[pl:""Foci""]%str3%%str4%",
%str1%%str2%Tempest Greatsword%str3%%str4%,
%str1%%str2%Tempest Hammer%str3%%str4%,
%str1%%str2%Tempest Longbow%str3%%str4%,
%str1%%str2%Tempest Mace%str3%%str4%,
%str1%%str2%Tempest Pistol%str3%%str4%,
%str1%%str2%Tempest Rifle%str3%%str4%,
%str1%%str2%Tempest Scepter%str3%%str4%,
%str1%%str2%Tempest Shield%str3%%str4%,
%str1%%str2%Tempest Short Bow%str3%%str4%,
"%str1%%str2%Tempest Staff[pl:""Staves""]%str3%%str4%",
%str1%%str2%Tempest Sword%str3%%str4%,
"%str1%%str2%Tempest Torch[pl:""Torches""]%str3%%str4%",
%str1%%str2%Tempest Warhorn%str3%%str4%,
%str1%%str2%Tempest's Loop%str3%%str4%,
%str1%%str2%Tempest's Warhorn%str3%%str4%,
%str1%%str2%Tenebrous Axe%str3%%str4%,
%str1%%str2%Tenebrous Dagger%str3%%str4%,
%str1%%str2%Tenebrous Focus%str3%%str4%,
%str1%%str2%Tenebrous Greatsword%str3%%str4%,
%str1%%str2%Tenebrous Hammer%str3%%str4%,
%str1%%str2%Tenebrous Longbow%str3%%str4%,
%str1%%str2%Tenebrous Mace%str3%%str4%,
%str1%%str2%Tenebrous Pistol%str3%%str4%,
%str1%%str2%Tenebrous Rifle%str3%%str4%,
%str1%%str2%Tenebrous Scepter%str3%%str4%,
%str1%%str2%Tenebrous Shield%str3%%str4%,
%str1%%str2%Tenebrous Short Bow%str3%%str4%,
%str1%%str2%Tenebrous Staff%str3%%str4%,
%str1%%str2%Tenebrous Sword%str3%%str4%,
%str1%%str2%Tenebrous Torch%str3%%str4%,
%str1%%str2%Tenebrous Warhorn%str3%%str4%,
%str1%%str2%Tengu Axe%str3%%str4%,
%str1%%str2%Tengu Dagger%str3%%str4%,
%str1%%str2%Tengu Echo Axe%str3%%str4%,
%str1%%str2%Tengu Echo Dagger%str3%%str4%,
%str1%%str2%Tengu Echo Focus%str3%%str4%,
%str1%%str2%Tengu Echo Greatsword%str3%%str4%,
%str1%%str2%Tengu Echo Hammer%str3%%str4%,
%str1%%str2%Tengu Echo Longbow%str3%%str4%,
%str1%%str2%Tengu Echo Mace%str3%%str4%,
%str1%%str2%Tengu Echo Pistol%str3%%str4%,
%str1%%str2%Tengu Echo Rifle%str3%%str4%,
%str1%%str2%Tengu Echo Scepter%str3%%str4%,
%str1%%str2%Tengu Echo Shield%str3%%str4%,
%str1%%str2%Tengu Echo Short Bow%str3%%str4%,
%str1%%str2%Tengu Echo Staff%str3%%str4%,
%str1%%str2%Tengu Echo Sword%str3%%str4%,
%str1%%str2%Tengu Echo Torch%str3%%str4%,
%str1%%str2%Tengu Echo Warhorn%str3%%str4%,
%str1%%str2%Tengu Focus%str3%%str4%,
%str1%%str2%Tengu Greatsword%str3%%str4%,
%str1%%str2%Tengu Hammer%str3%%str4%,
%str1%%str2%Tengu Longbow%str3%%str4%,
%str1%%str2%Tengu Mace%str3%%str4%,
%str1%%str2%Tengu Pistol%str3%%str4%,
%str1%%str2%Tengu Rifle%str3%%str4%,
%str1%%str2%Tengu Scepter%str3%%str4%,
%str1%%str2%Tengu Shield%str3%%str4%,
%str1%%str2%Tengu Short Bow%str3%%str4%,
%str1%%str2%Tengu Staff%str3%%str4%,
%str1%%str2%Tengu Sword%str3%%str4%,
%str1%%str2%Tengu Torch%str3%%str4%,
%str1%%str2%Tengu Warhorn%str3%%str4%,
%str1%%str2%Terracotta Antique Artifact%str3%%str4%,
%str1%%str2%Terracotta Antique Bastion%str3%%str4%,
%str1%%str2%Terracotta Antique Blade%str3%%str4%,
%str1%%str2%Terracotta Antique Brazier%str3%%str4%,
%str1%%str2%Terracotta Antique Claymore%str3%%str4%,
%str1%%str2%Terracotta Antique Flanged Mace%str3%%str4%,
%str1%%str2%Terracotta Antique Greatbow%str3%%str4%,
%str1%%str2%Terracotta Antique Harpoon Gun%str3%%str4%,
%str1%%str2%Terracotta Antique Herald%str3%%str4%,
%str1%%str2%Terracotta Antique Impaler%str3%%str4%,
%str1%%str2%Terracotta Antique Musket%str3%%str4%,
%str1%%str2%Terracotta Antique Razor%str3%%str4%,
%str1%%str2%Terracotta Antique Reaver%str3%%str4%,
%str1%%str2%Terracotta Antique Revolver%str3%%str4%,
%str1%%str2%Terracotta Antique Short Bow%str3%%str4%,
%str1%%str2%Terracotta Antique Spire%str3%%str4%,
%str1%%str2%Terracotta Antique Trident%str3%%str4%,
%str1%%str2%Terracotta Antique Wand%str3%%str4%,
%str1%%str2%Terracotta Antique Warhammer%str3%%str4%,
%str1%%str2%The Ambush%str3%%str4%,
%str1%%str2%The Anomaly%str3%%str4%,
%str1%%str2%The Apparatus%str3%%str4%,
%str1%%str2%The Ascension%str3%%str4%,
%str1%%str2%The Bard Experiment%str3%%str4%,
%str1%%str2%The Bard%str3%%str4%,
%str1%%str2%The Bifrost%str3%%str4%,
%str1%%str2%The Binding of Ipos%str3%%str4%,
%str1%%str2%The Briny Deep%str3%%str4%,
%str1%%str2%The Chosen Experiment%str3%%str4%,
%str1%%str2%The Chosen%str3%%str4%,
%str1%%str2%The Colossus Experiment%str3%%str4%,
%str1%%str2%The Colossus%str3%%str4%,
%str1%%str2%The Crossing%str3%%str4%,
%str1%%str2%The Device%str3%%str4%,
%str1%%str2%The Dreamer%str3%%str4%,
%str1%%str2%The Energizer Experiment%str3%%str4%,
%str1%%str2%The Energizer%str3%%str4%,
%str1%%str2%The Fate of Menzies%str3%%str4%,
%str1%%str2%The Flameseeker Prophecies%str3%%str4%,
%str1%%str2%The HMS Divinity%str3%%str4%,
%str1%%str2%The Hunt%str3%%str4%,
%str1%%str2%The Hunter Experiment%str3%%str4%,
%str1%%str2%The Hunter%str3%%str4%,
%str1%%str2%The Juggernaut%str3%%str4%,
%str1%%str2%The Legend Experiment%str3%%str4%,
%str1%%str2%The Legend%str3%%str4%,
%str1%%str2%The Lover Experiment%str3%%str4%,
%str1%%str2%The Lover%str3%%str4%,
%str1%%str2%The Mad Moon%str3%%str4%,
%str1%%str2%The Maelstrom%str3%%str4%,
%str1%%str2%The Mechanism%str3%%str4%,
%str1%%str2%The Minstrel%str3%%str4%,
%str1%%str2%The Moot%str3%%str4%,
%str1%%str2%The Predator%str3%%str4%,
%str1%%str2%The Punisher%str3%%str4%,
%str1%%str2%The Raven Staff%str3%%str4%,
%str1%%str2%The Shining Blade%str3%%str4%,
%str1%%str2%The Stingray%str3%%str4%,
%str1%%str2%The True Name%str3%%str4%,
%str1%%str2%The Ugly Stick%str3%%str4%,
%str1%%str2%Thundercrag Axe%str3%%str4%,
%str1%%str2%Thundercrag Dagger%str3%%str4%,
%str1%%str2%Thundercrag Focus%str3%%str4%,
%str1%%str2%Thundercrag Greatsword%str3%%str4%,
%str1%%str2%Thundercrag Hammer%str3%%str4%,
%str1%%str2%Thundercrag Longbow%str3%%str4%,
%str1%%str2%Thundercrag Mace%str3%%str4%,
%str1%%str2%Thundercrag Pistol%str3%%str4%,
%str1%%str2%Thundercrag Rifle%str3%%str4%,
%str1%%str2%Thundercrag Scepter%str3%%str4%,
%str1%%str2%Thundercrag Shield%str3%%str4%,
%str1%%str2%Thundercrag Short Bow%str3%%str4%,
%str1%%str2%Thundercrag Staff%str3%%str4%,
%str1%%str2%Thundercrag Sword%str3%%str4%,
%str1%%str2%Thundercrag Torch%str3%%str4%,
%str1%%str2%Thundercrag Warhorn%str3%%str4%,
%str1%%str2%Tiger Charr Backpack%str3%%str4%,
%str1%%str2%Tigris%str3%%str4%,
%str1%%str2%Tiki Totem Shield%str3%%str4%,
%str1%%str2%Timekeeper Axe%str3%%str4%,
%str1%%str2%Timekeeper Dagger%str3%%str4%,
%str1%%str2%Timekeeper Focus%str3%%str4%,
%str1%%str2%Timekeeper Greatsword%str3%%str4%,
%str1%%str2%Timekeeper Hammer%str3%%str4%,
%str1%%str2%Timekeeper Longbow%str3%%str4%,
%str1%%str2%Timekeeper Mace%str3%%str4%,
%str1%%str2%Timekeeper Pistol%str3%%str4%,
%str1%%str2%Timekeeper Rifle%str3%%str4%,
%str1%%str2%Timekeeper Scepter%str3%%str4%,
%str1%%str2%Timekeeper Shield%str3%%str4%,
%str1%%str2%Timekeeper Short Bow%str3%%str4%,
%str1%%str2%Timekeeper Staff%str3%%str4%,
%str1%%str2%Timekeeper Sword%str3%%str4%,
%str1%%str2%Timekeeper Torch%str3%%str4%,
%str1%%str2%Timekeeper Warhorn%str3%%str4%,
%str1%%str2%Tinwail%str3%%str4%,
%str1%%str2%Titanplate Heavy Breastplate%str3%%str4%,
%str1%%str2%Titanplate Heavy Cuisses%str3%%str4%,
%str1%%str2%Titanplate Heavy Gauntlets%str3%%str4%,
%str1%%str2%Titanplate Heavy Greaves%str3%%str4%,
%str1%%str2%Titanplate Heavy Helmet%str3%%str4%,
%str1%%str2%Titanplate Heavy Pauldrons%str3%%str4%,
%str1%%str2%Titanplate Light Crown%str3%%str4%,
%str1%%str2%Titanplate Light Gloves%str3%%str4%,
%str1%%str2%Titanplate Light Mantle%str3%%str4%,
%str1%%str2%Titanplate Light Pants%str3%%str4%,
%str1%%str2%Titanplate Light Regalia%str3%%str4%,
%str1%%str2%Titanplate Light Shoes%str3%%str4%,
%str1%%str2%Titanplate Medium Boots%str3%%str4%,
%str1%%str2%Titanplate Medium Gloves%str3%%str4%,
%str1%%str2%Titanplate Medium Jacket%str3%%str4%,
%str1%%str2%Titanplate Medium Leggings%str3%%str4%,
%str1%%str2%Titanplate Medium Mask%str3%%str4%,
%str1%%str2%Titanplate Medium Shoulders%str3%%str4%,
%str1%%str2%Titans' Vengeance%str3%%str4%,
%str1%%str2%Tlehco%str3%%str4%,
%str1%%str2%Tooth of Frostfang Experiment%str3%%str4%,
%str1%%str2%Tooth of Frostfang%str3%%str4%,
%str1%%str2%Top Hat%str3%%str4%,
%str1%%str2%Torch of the Dragon's Deep%str3%%str4%,
%str1%%str2%Torch%str3%%str4%,
%str1%%str2%Tormented Axe%str3%%str4%,
%str1%%str2%Tormented Dagger%str3%%str4%,
%str1%%str2%Tormented Focus%str3%%str4%,
%str1%%str2%Tormented Greatsword%str3%%str4%,
%str1%%str2%Tormented Hammer%str3%%str4%,
%str1%%str2%Tormented Harpoon Gun%str3%%str4%,
%str1%%str2%Tormented Longbow%str3%%str4%,
%str1%%str2%Tormented Mace%str3%%str4%,
%str1%%str2%Tormented Pistol%str3%%str4%,
%str1%%str2%Tormented Rifle%str3%%str4%,
%str1%%str2%Tormented Scepter%str3%%str4%,
%str1%%str2%Tormented Shield%str3%%str4%,
%str1%%str2%Tormented Short Bow%str3%%str4%,
%str1%%str2%Tormented Spear%str3%%str4%,
%str1%%str2%Tormented Staff%str3%%str4%,
%str1%%str2%Tormented Sword%str3%%str4%,
%str1%%str2%Tormented Torch%str3%%str4%,
%str1%%str2%Tormented Trident%str3%%str4%,
%str1%%str2%Tormented Warhorn%str3%%str4%,
%str1%%str2%Toxic Armguard%str3%%str4%,
%str1%%str2%Toxic Gauntlets%str3%%str4%,
%str1%%str2%Toxic Gloves%str3%%str4%,
%str1%%str2%Toxic Mantle%str3%%str4%,
%str1%%str2%Toxic Pauldron%str3%%str4%,
%str1%%str2%Toxic Shoulderpad%str3%%str4%,
%str1%%str2%Toxic Spore%str3%%str4%,
%str1%%str2%Toxinshell Axe%str3%%str4%,
%str1%%str2%Toxinshell Dagger%str3%%str4%,
%str1%%str2%Toxinshell Focus%str3%%str4%,
%str1%%str2%Toxinshell Greatsword%str3%%str4%,
%str1%%str2%Toxinshell Hammer%str3%%str4%,
%str1%%str2%Toxinshell Longbow%str3%%str4%,
%str1%%str2%Toxinshell Mace%str3%%str4%,
%str1%%str2%Toxinshell Pistol%str3%%str4%,
%str1%%str2%Toxinshell Rifle%str3%%str4%,
%str1%%str2%Toxinshell Scepter%str3%%str4%,
%str1%%str2%Toxinshell Shield%str3%%str4%,
%str1%%str2%Toxinshell Short Bow%str3%%str4%,
%str1%%str2%Toxinshell Spear%str3%%str4%,
%str1%%str2%Toxinshell Staff%str3%%str4%,
%str1%%str2%Toxinshell Sword%str3%%str4%,
%str1%%str2%Toxinshell Torch%str3%%str4%,
%str1%%str2%Toxinshell Warhorn%str3%%str4%,
%str1%%str2%Toy Candy Cane Hammer%str3%%str4%,
%str1%%str2%Toy Staff%str3%%str4%,
%str1%%str2%Toy Sword%str3%%str4%,
%str1%%str2%Toymaker's Bag%str3%%str4%,
%str1%%str2%Tracks of Koda%str3%%str4%,
%str1%%str2%Trained Choya Hammer%str3%%str4%,
%str1%%str2%Trapper Boots%str3%%str4%,
%str1%%str2%Trapper Coat%str3%%str4%,
%str1%%str2%Trapper Gloves%str3%%str4%,
%str1%%str2%Trapper Helm%str3%%str4%,
%str1%%str2%Trapper Leggings%str3%%str4%,
%str1%%str2%Trapper Shoulders%str3%%str4%,
%str1%%str2%Trappings of the Lich%str3%%str4%,
%str1%%str2%Tribal Axe%str3%%str4%,
%str1%%str2%Tribal Bangles%str3%%str4%,
%str1%%str2%Tribal Bident%str3%%str4%,
%str1%%str2%Tribal Bow%str3%%str4%,
%str1%%str2%Tribal Dagger%str3%%str4%,
%str1%%str2%Tribal Focus%str3%%str4%,
%str1%%str2%Tribal Greatsword%str3%%str4%,
%str1%%str2%Tribal Headdress%str3%%str4%,
%str1%%str2%Tribal Leggings%str3%%str4%,
%str1%%str2%Tribal Mace%str3%%str4%,
%str1%%str2%Tribal Mantle%str3%%str4%,
%str1%%str2%Tribal Pistol%str3%%str4%,
%str1%%str2%Tribal Rifle%str3%%str4%,
%str1%%str2%Tribal Scepter%str3%%str4%,
%str1%%str2%Tribal Shield%str3%%str4%,
%str1%%str2%Tribal Short Bow%str3%%str4%,
%str1%%str2%Tribal Spear%str3%%str4%,
%str1%%str2%Tribal Speargun%str3%%str4%,
%str1%%str2%Tribal Staff%str3%%str4%,
%str1%%str2%Tribal Sword%str3%%str4%,
%str1%%str2%Tribal Torch%str3%%str4%,
%str1%%str2%Tribal Trident%str3%%str4%,
%str1%%str2%Tribal Vestments%str3%%str4%,
%str1%%str2%Tribal Walkers%str3%%str4%,
%str1%%str2%Tribal Warhammer%str3%%str4%,
%str1%%str2%Tribal Warhorn%str3%%str4%,
%str1%%str2%Trickster's Gloves%str3%%str4%,
%str1%%str2%Trickster's Leggings%str3%%str4%,
%str1%%str2%Trickster's Mantle%str3%%str4%,
%str1%%str2%Trickster's Mask%str3%%str4%,
%str1%%str2%Trickster's Shoes%str3%%str4%,
%str1%%str2%Trickster's Vest%str3%%str4%,
%str1%%str2%Trident of the Dragon's Deep%str3%%str4%,
%str1%%str2%Trident of the Scion%str3%%str4%,
%str1%%str2%Trident of the Sunless%str3%%str4%,
%str1%%str2%Trident%str3%%str4%,
%str1%%str2%Triumphant Armguards%str3%%str4%,
%str1%%str2%Triumphant Breastplate%str3%%str4%,
%str1%%str2%Triumphant Brigandine%str3%%str4%,
%str1%%str2%Triumphant Epaulets%str3%%str4%,
%str1%%str2%Triumphant Faceguard%str3%%str4%,
%str1%%str2%Triumphant Footgear%str3%%str4%,
%str1%%str2%Triumphant Gauntlets%str3%%str4%,
%str1%%str2%Triumphant Hero's Armguards%str3%%str4%,
%str1%%str2%Triumphant Hero's Breastplate%str3%%str4%,
%str1%%str2%Triumphant Hero's Brigandine%str3%%str4%,
%str1%%str2%Triumphant Hero's Epaulets%str3%%str4%,
%str1%%str2%Triumphant Hero's Faceguard%str3%%str4%,
%str1%%str2%Triumphant Hero's Footgear%str3%%str4%,
%str1%%str2%Triumphant Hero's Gauntlets%str3%%str4%,
%str1%%str2%Triumphant Hero's Leggings%str3%%str4%,
%str1%%str2%Triumphant Hero's Legguards%str3%%str4%,
%str1%%str2%Triumphant Hero's Legplates%str3%%str4%,
%str1%%str2%Triumphant Hero's Masque%str3%%str4%,
%str1%%str2%Triumphant Hero's Pauldrons%str3%%str4%,
%str1%%str2%Triumphant Hero's Raiment%str3%%str4%,
%str1%%str2%Triumphant Hero's Shinplates%str3%%str4%,
%str1%%str2%Triumphant Hero's Shoulderguards%str3%%str4%,
%str1%%str2%Triumphant Hero's Wargreaves%str3%%str4%,
%str1%%str2%Triumphant Hero's Warhelm%str3%%str4%,
%str1%%str2%Triumphant Hero's Wristplates%str3%%str4%,
%str1%%str2%Triumphant Leggings%str3%%str4%,
%str1%%str2%Triumphant Legguards%str3%%str4%,
%str1%%str2%Triumphant Legplates%str3%%str4%,
%str1%%str2%Triumphant Masque%str3%%str4%,
%str1%%str2%Triumphant Pauldrons%str3%%str4%,
%str1%%str2%Triumphant Raiment%str3%%str4%,
%str1%%str2%Triumphant Shinplates%str3%%str4%,
%str1%%str2%Triumphant Shoulderguards%str3%%str4%,
%str1%%str2%Triumphant Wargreaves%str3%%str4%,
%str1%%str2%Triumphant Warhelm%str3%%str4%,
%str1%%str2%Triumphant Wristplates%str3%%str4%,
%str1%%str2%Trosa's Short Bow%str3%%str4%,
%str1%%str2%True Mettle%str3%%str4%,
%str1%%str2%True Sight Heavy Boots%str3%%str4%,
%str1%%str2%True Sight Heavy Coat%str3%%str4%,
%str1%%str2%True Sight Heavy Gloves%str3%%str4%,
%str1%%str2%True Sight Heavy Leggings%str3%%str4%,
%str1%%str2%True Sight Heavy Mask%str3%%str4%,
%str1%%str2%True Sight Heavy Shoulders%str3%%str4%,
%str1%%str2%True Sight Light Boots%str3%%str4%,
%str1%%str2%True Sight Light Coat%str3%%str4%,
%str1%%str2%True Sight Light Gloves%str3%%str4%,
%str1%%str2%True Sight Light Leggings%str3%%str4%,
%str1%%str2%True Sight Light Mask%str3%%str4%,
%str1%%str2%True Sight Light Shoulders%str3%%str4%,
%str1%%str2%True Sight Medium Boots%str3%%str4%,
%str1%%str2%True Sight Medium Coat%str3%%str4%,
%str1%%str2%True Sight Medium Gloves%str3%%str4%,
%str1%%str2%True Sight Medium Leggings%str3%%str4%,
%str1%%str2%True Sight Medium Mask%str3%%str4%,
%str1%%str2%True Sight Medium Shoulders%str3%%str4%,
%str1%%str2%Trust%str3%%str4%,
%str1%%str2%Truth%str3%%str4%,
%str1%%str2%Tsunami%str3%%str4%,
%str1%%str2%Twilight%str3%%str4%,
%str1%%str2%Twin Sisters%str3%%str4%,
%str1%%str2%Twin Spinal Blades%str3%%str4%,
%str1%%str2%Twin Talons%str3%%str4%,
%str1%%str2%Twisted Watchwork Shoulders%str3%%str4%,
%str1%%str2%Universal Multitool Pack%str3%%str4%,
%str1%%str2%Unspoken Curse%str3%%str4%,
%str1%%str2%Untamed's Hammer%str3%%str4%,
%str1%%str2%Urchin's Needles%str3%%str4%,
%str1%%str2%Ursan Ornamented Axe%str3%%str4%,
%str1%%str2%Ursan Ornamented Dagger%str3%%str4%,
%str1%%str2%Ursan Ornamented Focus%str3%%str4%,
%str1%%str2%Ursan Ornamented Greatsword%str3%%str4%,
%str1%%str2%Ursan Ornamented Hammer%str3%%str4%,
%str1%%str2%Ursan Ornamented Longbow%str3%%str4%,
%str1%%str2%Ursan Ornamented Mace%str3%%str4%,
%str1%%str2%Ursan Ornamented Pistol%str3%%str4%,
%str1%%str2%Ursan Ornamented Rifle%str3%%str4%,
%str1%%str2%Ursan Ornamented Scepter%str3%%str4%,
%str1%%str2%Ursan Ornamented Shield%str3%%str4%,
%str1%%str2%Ursan Ornamented Short Bow%str3%%str4%,
%str1%%str2%Ursan Ornamented Spear%str3%%str4%,
%str1%%str2%Ursan Ornamented Staff%str3%%str4%,
%str1%%str2%Ursan Ornamented Sword%str3%%str4%,
%str1%%str2%Ursan Ornamented Torch%str3%%str4%,
%str1%%str2%Ursan Ornamented Warhorn%str3%%str4%,
%str1%%str2%Usoku's Needle%str3%%str4%,
%str1%%str2%Vassago%str3%%str4%,
%str1%%str2%Veil Piercer%str3%%str4%,
%str1%%str2%Velocitas Eradico%str3%%str4%,
%str1%%str2%Vengeance%str3%%str4%,
%str1%%str2%Venom Experiment%str3%%str4%,
%str1%%str2%Venom%str3%%str4%,
%str1%%str2%Vera%str3%%str4%,
%str1%%str2%Verdant Axe%str3%%str4%,
%str1%%str2%Verdant Blade%str3%%str4%,
%str1%%str2%Verdant Bow%str3%%str4%,
%str1%%str2%Verdant Dagger%str3%%str4%,
%str1%%str2%Verdant Focus%str3%%str4%,
%str1%%str2%Verdant Glaive%str3%%str4%,
%str1%%str2%Verdant Greatsword%str3%%str4%,
%str1%%str2%Verdant Mace%str3%%str4%,
%str1%%str2%Verdant Pistol%str3%%str4%,
%str1%%str2%Verdant Rifle%str3%%str4%,
%str1%%str2%Verdant Scepter%str3%%str4%,
%str1%%str2%Verdant Shield%str3%%str4%,
%str1%%str2%Verdant Short Bow%str3%%str4%,
%str1%%str2%Verdant Spear%str3%%str4%,
%str1%%str2%Verdant Speargun%str3%%str4%,
%str1%%str2%Verdant Staff%str3%%str4%,
%str1%%str2%Verdant Torch%str3%%str4%,
%str1%%str2%Verdant Trident%str3%%str4%,
%str1%%str2%Verdant Warhammer%str3%%str4%,
%str1%%str2%Verdant Warhorn%str3%%str4%,
%str1%%str2%Verdarach%str3%%str4%,
%str1%%str2%Vestments of the Lich%str3%%str4%,
%str1%%str2%Veteran's Wings of Glory%str3%%str4%,
%str1%%str2%Victorious Holographic Wings%str3%%str4%,
%str1%%str2%Vigil's Honor Axe%str3%%str4%,
%str1%%str2%Vigil's Honor Boots%str3%%str4%,
%str1%%str2%Vigil's Honor Breastplate%str3%%str4%,
%str1%%str2%Vigil's Honor Circlet%str3%%str4%,
%str1%%str2%Vigil's Honor Dagger%str3%%str4%,
%str1%%str2%Vigil's Honor Focus%str3%%str4%,
%str1%%str2%Vigil's Honor Footwear%str3%%str4%,
%str1%%str2%Vigil's Honor Gauntlets%str3%%str4%,
%str1%%str2%Vigil's Honor Gloves%str3%%str4%,
%str1%%str2%Vigil's Honor Greatsword%str3%%str4%,
%str1%%str2%Vigil's Honor Greaves%str3%%str4%,
%str1%%str2%Vigil's Honor Hammer%str3%%str4%,
%str1%%str2%Vigil's Honor Harpoon%str3%%str4%,
%str1%%str2%Vigil's Honor Headguard%str3%%str4%,
%str1%%str2%Vigil's Honor Helmet%str3%%str4%,
%str1%%str2%Vigil's Honor Jerkin%str3%%str4%,
%str1%%str2%Vigil's Honor Leggings%str3%%str4%,
%str1%%str2%Vigil's Honor Longbow%str3%%str4%,
%str1%%str2%Vigil's Honor Mace%str3%%str4%,
%str1%%str2%Vigil's Honor Mantle%str3%%str4%,
%str1%%str2%Vigil's Honor Pauldrons%str3%%str4%,
%str1%%str2%Vigil's Honor Pistol%str3%%str4%,
%str1%%str2%Vigil's Honor Rifle%str3%%str4%,
%str1%%str2%Vigil's Honor Scepter%str3%%str4%,
%str1%%str2%Vigil's Honor Shield%str3%%str4%,
%str1%%str2%Vigil's Honor Short Bow%str3%%str4%,
%str1%%str2%Vigil's Honor Shoulderguards%str3%%str4%,
%str1%%str2%Vigil's Honor Spear%str3%%str4%,
%str1%%str2%Vigil's Honor Speargun%str3%%str4%,
%str1%%str2%Vigil's Honor Staff%str3%%str4%,
%str1%%str2%Vigil's Honor Sword%str3%%str4%,
%str1%%str2%Vigil's Honor Tassets%str3%%str4%,
%str1%%str2%Vigil's Honor Torch%str3%%str4%,
%str1%%str2%Vigil's Honor Trident%str3%%str4%,
%str1%%str2%Vigil's Honor Vest%str3%%str4%,
%str1%%str2%Vigil's Honor Warhorn%str3%%str4%,
%str1%%str2%Vindicator's Greatsword%str3%%str4%,
%str1%%str2%Violet Antique Artifact%str3%%str4%,
%str1%%str2%Violet Antique Bastion%str3%%str4%,
%str1%%str2%Violet Antique Blade%str3%%str4%,
%str1%%str2%Violet Antique Brazier%str3%%str4%,
%str1%%str2%Violet Antique Claymore%str3%%str4%,
%str1%%str2%Violet Antique Flanged Mace%str3%%str4%,
%str1%%str2%Violet Antique Greatbow%str3%%str4%,
%str1%%str2%Violet Antique Harpoon Gun%str3%%str4%,
