english,translate
Recipe[s]: Ebonmane's Bastion,Рецепт[|а|ов]: Бастион Эбонмейна
Recipe[s]: Ebonmane's Blade,Рецепт[|а|ов]: Клинок Эбонмейна
Recipe[s]: Ebonmane's Brazier,Рецепт[|а|ов]: Жаровня Эбонмейна
Recipe[s]: Ebonmane's Claymore,Рецепт[|а|ов]: Клеймор Эбонмейна
Recipe[s]: Ebonmane's Flanged Mace,Рецепт[|а|ов]: Фланцевая булава Эбонмейна
Recipe[s]: Ebonmane's Greatbow,Рецепт[|а|ов]: Великий лук Эбонмейна
Recipe[s]: Ebonmane's Harpoon Gun,Рецепт[|а|ов]: Гарпунная пушка Эбонмейна
Recipe[s]: Ebonmane's Herald,Рецепт[|а|ов]: Геральд Эбонмейна
Recipe[s]: Ebonmane's Impaler,Рецепт[|а|ов]: Импалер Эбонмейна
Recipe[s]: Ebonmane's Musket,Рецепт[|а|ов]: Мушкет Эбонмейна
Recipe[s]: Ebonmane's Razor,Рецепт[|а|ов]: Бритва Эбонмейна
Recipe[s]: Ebonmane's Reaver,Рецепт[|а|ов]: Рейвер Эбонмейна
Recipe[s]: Ebonmane's Revolver,Рецепт[|а|ов]: Револьвер Эбонмейна
Recipe[s]: Ebonmane's Short Bow,Рецепт[|а|ов]: Короткий лук Эбонмейна
Recipe[s]: Ebonmane's Spire,Рецепт[|а|ов]: Шпиль Эбонмейна
Recipe[s]: Ebonmane's Trident,Рецепт[|а|ов]: Трезубец Эбонмейна
Recipe[s]: Ebonmane's Wand,Рецепт[|а|ов]: Жезл Эбонмейна
Recipe[s]: Ebonmane's Warhammer,Рецепт[|а|ов]: Боевой молот Эбонмейна
Recipe[s]: Eel Statue,Рецепт[|а|ов]: Статуя угря
Recipe[s]: Egg in a Cloud,Рецепт[|а|ов]: Яйцо в облаке
Recipe[s]: Eggs Beetletun,Рецепт[|а|ов]: Яйца Битлтун
Recipe[s]: Eitrite Ingot,Рецепт[|а|ов]: Слиток эйтрита
Recipe[s]: Elder Draco-Pop,Рецепт[|а|ов]: Древний драко-леденец
Recipe[s]: Elkslayer (Level 20),Рецепт[|а|ов]: Убийца лосей (20-й уровень)
Recipe[s]: Embellished Brilliant Beryl Jewel,Рецепт[|а|ов]: Украшенный блестящий берилловый самоцвет
Recipe[s]: Embellished Brilliant Chrysocola Jewel,Рецепт[|а|ов]: Украшенный блестящий хризоколловый самоцвет
Recipe[s]: Embellished Brilliant Coral Jewel,Рецепт[|а|ов]: Украшенный блестящий коралловый самоцвет
Recipe[s]: Embellished Brilliant Emerald Jewel,Рецепт[|а|ов]: Украшенный блестящий изумрудный самоцвет
Recipe[s]: Embellished Brilliant Opal Jewel,Рецепт[|а|ов]: Украшенный блестящий опаловый самоцвет
Recipe[s]: Embellished Brilliant Ruby Jewel,Рецепт[|а|ов]: Украшенный блестящий рубиновый самоцвет
Recipe[s]: Embellished Brilliant Sapphire Jewel,Рецепт[|а|ов]: Украшенный блестящий сапфировый самоцвет
Recipe[s]: Embellished Gilded Amethyst Jewel,Рецепт[|а|ов]: Украшенный позолоченный аметистовый самоцвет
Recipe[s]: Embellished Gilded Carnelian Jewel,Рецепт[|а|ов]: Украшенный позолоченный сердоликовый самоцвет
Recipe[s]: Embellished Gilded Lapis Jewel,Рецепт[|а|ов]: Украшенный позолоченный лазуритовый самоцвет
Recipe[s]: Embellished Gilded Peridot Jewel,Рецепт[|а|ов]: Украшенный позолоченный перидотовый самоцвет
Recipe[s]: Embellished Gilded Spinel Jewel,Рецепт[|а|ов]: Украшенный позолоченный шпинелевый самоцвет
Recipe[s]: Embellished Gilded Sunstone Jewel,Рецепт[|а|ов]: Украшенный позолоченный солнечный самоцвет
Recipe[s]: Embellished Gilded Topaz Jewel,Рецепт[|а|ов]: Украшенный позолоченный топазовый самоцвет
Recipe[s]: Embellished Intricate Amethyst Jewel,Рецепт[|а|ов]: Украшенный замысловатый аметистовый самоцвет
Recipe[s]: Embellished Intricate Carnelian Jewel,Рецепт[|а|ов]: Украшенный замысловатый сердоликовый самоцвет
Recipe[s]: Embellished Intricate Lapis Jewel,Рецепт[|а|ов]: Украшенный замысловатый лазуритовый самоцвет
Recipe[s]: Embellished Intricate Peridot Jewel,Рецепт[|а|ов]: Украшенный замысловатый перидотовый самоцвет
Recipe[s]: Embellished Intricate Spinel Jewel,Рецепт[|а|ов]: Украшенный замысловатый самоцвет из шпинели
Recipe[s]: Embellished Intricate Sunstone Jewel,Рецепт[|а|ов]: Украшенный замысловатый самоцвет из солнечного камня
Recipe[s]: Embellished Intricate Topaz Jewel,Рецепт[|а|ов]: Украшенный замысловатый самоцвет из топаза
Recipe[s]: Embellished Ornate Beryl Jewel,Рецепт[|а|ов]: Украшенный орнаментированный самоцвет из берилла
Recipe[s]: Embellished Ornate Chrysocola Jewel,Рецепт[|а|ов]: Украшенный орнаментированный самоцвет из хризоколлы
Recipe[s]: Embellished Ornate Coral Jewel,Рецепт[|а|ов]: Украшенный орнаментированный самоцвет из коралла
Recipe[s]: Embellished Ornate Emerald Jewel,Рецепт[|а|ов]: Украшенный орнаментированный самоцвет из изумруда
Recipe[s]: Embellished Ornate Opal Jewel,Рецепт[|а|ов]: Украшенный орнаментированный самоцвет из опала
Recipe[s]: Embellished Ornate Ruby Jewel,Рецепт[|а|ов]: Украшенный орнаментированный самоцвет из рубина
Recipe[s]: Embellished Ornate Sapphire Jewel,Рецепт[|а|ов]: Украшенный орнаментированный самоцвет из сапфира
Recipe[s]: Empty Hylek Flask,Рецепт[|а|ов]: Пустая фляга хайлека
Recipe[s]: Enchanted Rock Pendant,Рецепт[|а|ов]: Зачарованный каменный кулон
Recipe[s]: Endeavor,Рецепт[|а|ов]: Стремление
Recipe[s]: Endless Toy Golem Tonic,[Рецепт|Рецепта|Рецептов]: бесконечного тоника игрушечного голема
Recipe[s]: Enhanced Lucent Oil,[Рецепт|Рецепта|Рецептов]: улучшенного светозарного масла
Recipe[s]: Ether Djinn's Token,[Рецепт|Рецепта|Рецептов]: жетона эфирного джинна
Recipe[s]: Ettin Stew,[Рецепт|Рецепта|Рецептов]: похлёбки эттина
Recipe[s]: Evergreen Jar,[Рецепт|Рецепта|Рецептов]: вечнозелёной банки
Recipe[s]: Exalted Axe Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённого топора
Recipe[s]: Exalted Dagger Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённого кинжала
Recipe[s]: Exalted Focus Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённого фокуса
Recipe[s]: Exalted Greatsword Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённого большого меча
Recipe[s]: Exalted Hammer Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённого молота
Recipe[s]: Exalted Longbow Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённого длинного лука
Recipe[s]: Exalted Mace Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённой булавы
Recipe[s]: Exalted Pistol Core,[Рецепт|Рецепта|Рецептов]: ядра просветлённого пистолета
Recipe[s]: Exalted Rifle Core,Рецепт[|а|ов]: Ядро возвышенного ружья
Recipe[s]: Exalted Scepter Core,Рецепт[|а|ов]: Ядро возвышенного скипетра
Recipe[s]: Exalted Shield Core,Рецепт[|а|ов]: Ядро возвышенного щита
Recipe[s]: Exalted Short-Bow Core,Рецепт[|а|ов]: Ядро возвышенного короткого лука
Recipe[s]: Exalted Staff Core,Рецепт[|а|ов]: Ядро возвышенного посоха
Recipe[s]: Exalted Sword Core,Рецепт[|а|ов]: Ядро возвышенного меча
Recipe[s]: Exalted Torch Core,Рецепт[|а|ов]: Ядро возвышенного факела
Recipe[s]: Exalted Warhorn Core,Рецепт[|а|ов]: Ядро возвышенного боевого рога
Recipe[s]: Excavator's Gloves,Рецепт[|а|ов]: Перчатки землекопа
Recipe[s]: Exemplar's Edge,Рецепт[|а|ов]: Клинок образца
Recipe[s]: Exitare,[Рецепт|Рецепта|Рецептов]: Выходу
Recipe[s]: Exitus,[Рецепт|Рецепта|Рецептов]: Экзитус
Recipe[s]: Experimental Skritt Musket,Рецепт[|а|ов]: Экспериментальный мушкет скриттов
Recipe[s]: Experimenter's Collection Staff,Рецепт[|а|ов]: Посох коллекции экспериментатора
Recipe[s]: Exquisite Agate Jewel,Рецепт[|а|ов]: Изысканный агатовый самоцвет
Recipe[s]: Exquisite Ambrite Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный амбритовый самоцвет
Recipe[s]: Exquisite Beryl Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный берилловый самоцвет
Recipe[s]: Exquisite Black Diamond Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный самоцвет из чёрного алмаза
Recipe[s]: Exquisite Burl Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный самоцвет из капа
Recipe[s]: Exquisite Charged Ambrite Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный заряженный амбритовый самоцвет
Recipe[s]: Exquisite Chrysocola Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный хризоколловый самоцвет
Recipe[s]: Exquisite Coral Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный коралловый самоцвет
Recipe[s]: Exquisite Ebony Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный эбеновый самоцвет
Recipe[s]: Exquisite Emerald Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный изумрудный самоцвет
Recipe[s]: Exquisite Flax Blossom,[Рецепт|Рецепта|Рецептов]: Изысканный цветок льна
Recipe[s]: Exquisite Freshwater Pearl Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный самоцвет из пресноводного жемчуга
Recipe[s]: Exquisite Jade Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный нефритовый самоцвет
Recipe[s]: Exquisite Lily Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный лилейный самоцвет
Recipe[s]: Exquisite Moonstone Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный лунный камень
Recipe[s]: Exquisite Opal Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный опаловый самоцвет
Recipe[s]: Exquisite Polished-Resin Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный самоцвет из полированной смолы
Recipe[s]: Exquisite Quartz Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный кварцевый самоцвет
Recipe[s]: Exquisite Rare Sprocket Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный самоцвет из редкой шестеренки
Recipe[s]: Exquisite Ruby Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный рубиновый самоцвет
Recipe[s]: Exquisite Sapphire Jewel,[Рецепт|Рецепта|Рецептов]: Изысканный сапфировый самоцвет
Recipe[s]: Extended Potion of Dredge Slaying,[Рецепт|Рецепта|Рецептов]: Расширенное зелье истребления дредж
Recipe[s]: Extended Potion of Flame Legion Slaying,[Рецепт|Рецепта|Рецептов]: Расширенное зелье истребления Легиона Пламени
Recipe[s]: Extended Potion of Ghost Slaying,[Рецепт|Рецепта|Рецептов]: Расширенное зелье истребления призраков
Recipe[s]: Extended Potion of Nightmare Court Slaying,[Рецепт|Рецепта|Рецептов]: Расширенное зелье истребления Кошмарного Двора
Recipe[s]: Extended Potion of Outlaw Slaying,[Рецепт|Рецепта|Рецептов]: Расширенное зелье истребления преступников
Recipe[s]: Extended Potion of Sons of Svanir Slaying,[Рецепт|Рецепта|Рецептов]: Расширенное зелье истребления Сыновей Сванира
Recipe[s]: Extended Potion of Undead Slaying,[Рецепт|Рецепта|Рецептов]: Расширенное зелье истребления нежити
Recipe[s]: Eye of Astrix (Level 20),[Рецепт|Рецепта|Рецептов]: Глаз Астрикс (Уровень 20)
Recipe[s]: Eye of Power Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр Ока Силы
Recipe[s]: Fancy Desert Sofa,[Рецепт|Рецепта|Рецептов]: Шикарный пустынный диван
Recipe[s]: Ferratus's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник Ферратуса
Recipe[s]: Ferratus's Breeches,[Рецепт|Рецепта|Рецептов]: Штаны Ферратуса
Recipe[s]: Ferratus's Cloth Breather,[Рецепт|Рецепта|Рецептов]: Тканевое дыхательное устройство Ферратуса
Recipe[s]: Ferratus's Doublet,[Рецепт|Рецепта|Рецептов]: Дуэлет Ферратуса
Recipe[s]: Ferratus's Epaulets,[Рецепт|Рецепта|Рецептов]: Эполеты Ферратуса
Recipe[s]: Ferratus's Footwear,[Рецепт|Рецепта|Рецептов]: Обувь Ферратуса
Recipe[s]: Ferratus's Greaves,[Рецепт|Рецепта|Рецептов]: Поножи Ферратуса
Recipe[s]: Ferratus's Grips,[Рецепт|Рецепта|Рецептов]: Хваты Ферратуса
Recipe[s]: Ferratus's Guise,[Рецепт|Рецепта|Рецептов]: Облик Ферратуса
Recipe[s]: Ferratus's Leather Breather,[Рецепт|Рецепта|Рецептов]: Кожаное дыхательное устройство Ферратуса
Recipe[s]: Ferratus's Leggings,[Рецепт|Рецепта|Рецептов]: Наголенники Ферратуса
Recipe[s]: Ferratus's Masque,[Рецепт|Рецепта|Рецептов]: Маска Ферратуса
Recipe[s]: Ferratus's Metal Breather,[Рецепт|Рецепта|Рецептов]: Металлическое дыхательное устройство Ферратуса
Recipe[s]: Ferratus's Pauldrons,[Рецепт|Рецепта|Рецептов]: Наплечники Ферратуса
Recipe[s]: Ferratus's Rabid Insignia,[Рецепт|Рецепта|Рецептов]: Знак бешенства Ферратуса
Recipe[s]: Ferratus's Shoulderguard,[Рецепт|Рецепта|Рецептов]: Наплечники Ферратуса
Recipe[s]: Ferratus's Striders,[Рецепт|Рецепта|Рецептов]: Скороходы Ферратуса
Recipe[s]: Ferratus's Tassets,[Рецепт|Рецепта|Рецептов]: Набедренники Ферратуса
Recipe[s]: Ferratus's Visage,[Рецепт|Рецепта|Рецептов]: Личина Ферратуса
Recipe[s]: Ferratus's Visor,[Рецепт|Рецепта|Рецептов]: Забрало Ферратуса
Recipe[s]: Ferratus's Warfists,[Рецепт|Рецепта|Рецептов]: Боевые перчатки Ферратуса
Recipe[s]: Ferratus's Wristguards,[Рецепт|Рецепта|Рецептов]: Наручи Ферратуса
Recipe[s]: Festive Fall Tent,[Рецепт|Рецепта|Рецептов]: Праздничная осенняя палатка
Recipe[s]: Fiery Dragon Slayer Axe,[Рецепт|Рецепта|Рецептов]: Топор пламенного драконоборца
Recipe[s]: Fiery Dragon Slayer Dagger,[Рецепт|Рецепта|Рецептов]: Кинжал пламенного драконоборца
Recipe[s]: Fiery Dragon Slayer Focus,[Рецепт|Рецепта|Рецептов]: Фокус пламенного драконоборца
Recipe[s]: Fiery Dragon Slayer Greatsword,[Рецепт|Рецепта|Рецептов]: Большой меч пламенного драконоборца
Recipe[s]: Fiery Dragon Slayer Hammer,[Рецепт|Рецепта|Рецептов]: Молот пламенного драконоборца
Recipe[s]: Fiery Dragon Slayer Longbow,[Рецепт|Рецепта|Рецептов]: Длинный лук пламенного драконоборца
Recipe[s]: Fiery Dragon Slayer Mace,[Рецепт|Рецепта|Рецептов]: Булава пламенного драконоборца
Recipe[s]: Fiery Dragon Slayer Pistol,[Рецепт|Рецепта|Рецептов]: Пылающий драконий пистолет
Recipe[s]: Fiery Dragon Slayer Rifle,[Рецепт|Рецепта|Рецептов]: Пылающая драконья винтовка
Recipe[s]: Fiery Dragon Slayer Scepter,[Рецепт|Рецепта|Рецептов]: Пылающий драконий скипетр
Recipe[s]: Fiery Dragon Slayer Shield,[Рецепт|Рецепта|Рецептов]: Пылающий драконий щит
Recipe[s]: Fiery Dragon Slayer Short Bow,[Рецепт|Рецепта|Рецептов]: Пылающий драконий короткий лук
Recipe[s]: Fiery Dragon Slayer Staff,[Рецепт|Рецепта|Рецептов]: Пылающий драконий посох
Recipe[s]: Fiery Dragon Slayer Sword,[Рецепт|Рецепта|Рецептов]: Пылающий драконий меч
Recipe[s]: Fiery Dragon Slayer Torch,[Рецепт|Рецепта|Рецептов]: Пылающий драконий факел
Recipe[s]: Fiery Dragon Slayer Warhorn,[Рецепт|Рецепта|Рецептов]: Пылающий драконий рог
Recipe[s]: Filtered Honey,[Рецепт|Рецепта|Рецептов]: Фильтрованный мёд
Recipe[s]: Fine Rift Motivation,[Рецепт|Рецепта|Рецептов]: Тонкая мотивация разлома
Recipe[s]: Finely Tuned Watchwork Mechanism,[Рецепт|Рецепта|Рецептов]: Тонко настроенный часовой механизм
Recipe[s]: Finite Result,[Рецепт|Рецепта|Рецептов]: Конечный результат
Recipe[s]: Firebreather Chili,[Рецепт|Рецепта|Рецептов]: Чили «Огнедышащий»
Recipe[s]: Fishy Rice Bowl,[Рецепт|Рецепта|Рецептов]: Рыбная чаша с рисом
Recipe[s]: Flame Legion Focus,Рецепт[|а|ов]: Фокус Легиона Пламени
Recipe[s]: Flame Legion Scepter,Рецепт[|а|ов]: скипетр Легиона Пламени
Recipe[s]: Flame Legion Staff,Рецепт[|а|ов]: посох Легиона Пламени
Recipe[s]: Flangeflare (Level 31),"Рецепт[|а|ов]: ""Вспышка фланга"" (31 уровень)"
Recipe[s]: Flangeflare (Level 55),"Рецепт[|а|ов]: ""Вспышка фланга"" (55 уровень)"
Recipe[s]: Flask of Metabolic Primer,[Рецепт|Рецепта|Рецептов]: Фляга метаболической подготовки
Recipe[s]: Flask of Utility Primer,[Рецепт|Рецепта|Рецептов]: Фляга подготовки к применению
Recipe[s]: Flatbread,[Рецепт|Рецепта|Рецептов]: Лепешка
Recipe[s]: Flight of Sushi,[Рецепт|Рецепта|Рецептов]: Полёт суши
Recipe[s]: For Science,[Рецепт|Рецепта|Рецептов]: Для науки
Recipe[s]: Forgemaster's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник кузнеца-Мастера
Recipe[s]: Forgemaster's Breeches,[Рецепт|Рецепта|Рецептов]: Штаны кузнеца-Мастера
Recipe[s]: Forgemaster's Cloth Breather,[Рецепт|Рецепта|Рецептов]: Дыхатель из ткани от Кузнеца
Recipe[s]: Forgemaster's Doublet,[Рецепт|Рецепта|Рецептов]: Дублет кузнеца-Мастера
Recipe[s]: Forgemaster's Epaulets,[Рецепт|Рецепта|Рецептов]: Наплечники кузнеца-Мастера
Recipe[s]: Forgemaster's Footwear,[Рецепт|Рецепта|Рецептов]: Обувь кузнеца-мастера
Recipe[s]: Forgemaster's Greaves,[Рецепт|Рецепта|Рецептов]: Наголенники кузнеца-мастера
Recipe[s]: Forgemaster's Grips,[Рецепт|Рецепта|Рецептов]: Захваты кузнеца-мастера
Recipe[s]: Forgemaster's Guise,[Рецепт|Рецепта|Рецептов]: Облик кузнеца-мастера
Recipe[s]: Forgemaster's Leather Breather,[Рецепт|Рецепта|Рецептов]: Кожаный респиратор кузнеца-мастера
Recipe[s]: Forgemaster's Leggings,[Рецепт|Рецепта|Рецептов]: Поножи кузнеца-мастера
Recipe[s]: Forgemaster's Masque,[Рецепт|Рецепта|Рецептов]: Маска кузнеца-мастера
Recipe[s]: Forgemaster's Metal Breather,[Рецепт|Рецепта|Рецептов]: Металлический респиратор кузнеца-мастера
Recipe[s]: Forgemaster's Pauldrons,[Рецепт|Рецепта|Рецептов]: Наплечники кузнеца-мастера
Recipe[s]: Forgemaster's Rampager Insignia,[Рецепт|Рецепта|Рецептов]: Знак буяна кузнеца-мастера
Recipe[s]: Forgemaster's Shoulderguard,[Рецепт|Рецепта|Рецептов]: Наплечный щиток кузнеца-мастера
Recipe[s]: Forgemaster's Striders,[Рецепт|Рецепта|Рецептов]: Поступь кузнеца-мастера
Recipe[s]: Forgemaster's Tassets,[Рецепт|Рецепта|Рецептов]: Набедренники кузнеца-мастера
Recipe[s]: Forgemaster's Visage,[Рецепт|Рецепта|Рецептов]: Лик кузнеца-мастера
Recipe[s]: Forgemaster's Visor,[Рецепт|Рецепта|Рецептов]: Забрало кузнеца-мастера
Recipe[s]: Forgemaster's Warfists,Рецепт[|а|ов]: Кулаки кузнеца-мастера
Recipe[s]: Forgemaster's Wristguards,Рецепт[|а|ов]: Наручи кузнеца-мастера
Recipe[s]: Forgotten Brilliance,Рецепт[|а|ов]: Забытое сияние
Recipe[s]: Fragment of Saul's Burden,Рецепт[|а|ов]: Фрагмент бремени Саула
Recipe[s]: Francisca (Level 20),Рецепт[|а|ов]: Франциска (20-й уровень)
Recipe[s]: Fried Banana Chips,Рецепт[|а|ов]: Жареные банановые чипсы
Recipe[s]: Fried Oyster Sandwich,Рецепт[|а|ов]: Жареный сэндвич с устрицами
Recipe[s]: Friendship,Рецепт[|а|ов]: Дружба
Recipe[s]: Frigate,Рецепт[|а|ов]: Фрегат
Recipe[s]: Front Line Stew,Рецепт[|а|ов]: Передовое рагу
Recipe[s]: Furious Maintenance Oil,Рецепт[|а|ов]: Яростное смазочное масло
Recipe[s]: Furious Sharpening Stone,Рецепт[|а|ов]: Яростный точильный камень
Recipe[s]: Furious Tuning Crystal,Рецепт[|а|ов]: Яростный настроечный кристалл
Recipe[s]: Gieve's Plate (Level 71),Рецепт[|а|ов]: Пластина Гива (71-й уровень)
Recipe[s]: Gift Barrel,Рецепт[|а|ов]: Подарочная бочка
Recipe[s]: Gift Levitator,[Рецепт|Рецепта|Рецептов]: Подающий Левитатор
Recipe[s]: Gift of Blades,[Рецепт|Рецепта|Рецептов]: Подарок из клинков
Recipe[s]: Gift of Blood,[Рецепт|Рецепта|Рецептов]: Дар крови
Recipe[s]: Gift of Bones,[Рецепт|Рецепта|Рецептов]: Дар Костей
Recipe[s]: Gift of Claws,[Рецепт|Рецепта|Рецептов]: Дар когтей
Recipe[s]: Gift of Color,[Рецепт|Рецепта|Рецептов]: Дар Цвета
Recipe[s]: Gift of Darkness,[Рецепт|Рецепта|Рецептов]: Дар Тьмы
Recipe[s]: Gift of Dust,[Рецепт|Рецепта|Рецептов]: Дар Пыли
Recipe[s]: Gift of Energy,[Рецепт|Рецепта|Рецептов]: Дар энергии
Recipe[s]: Gift of Entertainment,[Рецепт|Рецепта|Рецептов]: Дар Развлечений
Recipe[s]: Gift of Fangs,[Рецепт|Рецепта|Рецептов]: Дар Клыков
Recipe[s]: Gift of History,[Рецепт|Рецепта|Рецептов]: Дар истории
Recipe[s]: Gift of Ice,Рецепт[|а|ов]: Ледяной подарок
Recipe[s]: Gift of Light,[Рецепт|Рецепта|Рецептов]: Дар Света
Recipe[s]: Gift of Lightning,[Рецепт|Рецепта|Рецептов]: Дар молнии
Recipe[s]: Gift of Metal,[Рецепт|Рецепта|Рецептов]: Дар металла
