english,translate
Recipe[s]: Silver Ether Djinn Trophy,[Рецепт|Рецепта|Рецептов]: трофей Серебряного Эфирного джинна
Recipe[s]: Silver Gorseval Trophy,[Рецепт|Рецепта|Рецептов]: трофей «Серебряный Горсеваль»
Recipe[s]: Silver Greer Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Грира
Recipe[s]: Silver Keep Construct Trophy,[Рецепт|Рецепта|Рецептов]: трофей Серебряного Крепостного Конструкта
Recipe[s]: Silver Mordremoth Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Мордремота
Recipe[s]: Silver Mursaat Overseer Trophy,[Рецепт|Рецепта|Рецептов]: трофей серебряного мурсаатского надзирателя
Recipe[s]: Silver Qadim Trophy,[Рецепт|Рецепта|Рецептов]: трофей серебряного Кадима
Recipe[s]: Silver River of Souls Trophy,[Рецепт|Рецепта|Рецептов]: трофей «Серебряная Река Душ»
Recipe[s]: Silver Sabetha Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Сабетхи
Recipe[s]: Silver Samarog Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Самарога
Recipe[s]: Silver Shatterer Trophy,[Рецепт|Рецепта|Рецептов]: трофей «Серебряный Разрушитель»
Recipe[s]: Silver Siege the Stronghold Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей «Осада крепости»
Recipe[s]: Silver Slothasor Trophy,[Рецепт|Рецепта|Рецептов]: трофей «Серебряный Слотхазор»
Recipe[s]: Silver Statue of Grenth Trophy,[Рецепт|Рецепта|Рецептов]: серебряная статуэтка Гренза
Recipe[s]: Silver Tequatl Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Текватла
Recipe[s]: Silver Triple Trouble Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Тройной Беды
Recipe[s]: Silver Twin Largos Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Ларгосов-близнецов
Recipe[s]: Silver Ura Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Уры
Recipe[s]: Silver Vale Guardian Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Стража Лощины
Recipe[s]: Silver White Mantle Abomination Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Мерзости Белого Плаща
Recipe[s]: Silver Xera Trophy,[Рецепт|Рецепта|Рецептов]: серебряный трофей Ксеры
Recipe[s]: Simple Boreal Canteen,[Рецепт|Рецепта|Рецептов]: простая бореальная фляга
Recipe[s]: Sinister Draconic Boots,[Рецепт|Рецепта|Рецептов]: зловещие драконьи сапоги
Recipe[s]: Sinister Draconic Coat,[Рецепт|Рецепта|Рецептов]: Зловещая драконья куртка
Recipe[s]: Sinister Draconic Gauntlets,[Рецепт|Рецепта|Рецептов]: зловещие драконьи перчатки
Recipe[s]: Sinister Draconic Helm,[Рецепт|Рецепта|Рецептов]: Зловещий драконий шлем
Recipe[s]: Sinister Draconic Legs,[Рецепт|Рецепта|Рецептов]: зловещие драконьи поножи
Recipe[s]: Sinister Draconic Pauldrons,[Рецепт|Рецепта|Рецептов]: зловещие драконьи наплечники
Recipe[s]: Sinister Emblazoned Boots,[Рецепт|Рецепта|Рецептов]: зловещие украшенные сапоги
Recipe[s]: Sinister Emblazoned Coat,[Рецепт|Рецепта|Рецептов]: зловещего гербового плаща
Recipe[s]: Sinister Emblazoned Gloves,[Рецепт|Рецепта|Рецептов]: зловещих гербовых перчаток
Recipe[s]: Sinister Emblazoned Helm,[Рецепт|Рецепта|Рецептов]: зловещего гербового шлема
Recipe[s]: Sinister Emblazoned Pants,[Рецепт|Рецепта|Рецептов]: зловещих гербовых штанов
Recipe[s]: Sinister Emblazoned Shoulders,[Рецепт|Рецепта|Рецептов]: зловещих гербовых наплечников
Recipe[s]: Sinister Exalted Boots,[Рецепт|Рецепта|Рецептов]: зловещих возвышенных сапог
Recipe[s]: Sinister Exalted Coat,[Рецепт|Рецепта|Рецептов]: зловещего возвышенного плаща
Recipe[s]: Sinister Exalted Gloves,[Рецепт|Рецепта|Рецептов]: зловещих возвышенных перчаток
Recipe[s]: Sinister Exalted Mantle,[Рецепт|Рецепта|Рецептов]: зловещей возвышенной накидки
Recipe[s]: Sinister Exalted Masque,[Рецепт|Рецепта|Рецептов]: зловещей возвышенной маски
Recipe[s]: Sinister Exalted Pants,[Рецепт|Рецепта|Рецептов]: зловещих возвышенных штанов
Recipe[s]: Sinister Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: зловещего замысловатого знака из паутины
Recipe[s]: Sinister Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: зловещей пропитанной надписи из орихалка
Recipe[s]: Sinister Pearl Bludgeoner,[Рецепт|Рецепта|Рецептов]: зловещей жемчужной дубины
Recipe[s]: Sinister Pearl Blunderbuss,[Рецепт|Рецепта|Рецептов]: зловещего жемчужного мушкета
Recipe[s]: Sinister Pearl Brazier,[Рецепт|Рецепта|Рецептов]: жаровня «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Broadsword,[Рецепт|Рецепта|Рецептов]: палаш «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Carver,[Рецепт|Рецепта|Рецептов]: кинжал «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Conch,[Рецепт|Рецепта|Рецептов]: раковина «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Crusher,[Рецепт|Рецепта|Рецептов]: дробитель «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Handcannon,[Рецепт|Рецепта|Рецептов]: ручная пушка «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Needler,[Рецепт|Рецепта|Рецептов]: игломет «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Quarterstaff,[Рецепт|Рецепта|Рецептов]: посох «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Reaver,[Рецепт|Рецепта|Рецептов]: секира «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Rod,[Рецепт|Рецепта|Рецептов]: жезл «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Sabre,[Рецепт|Рецепта|Рецептов]: сабля «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Shell,[Рецепт|Рецепта|Рецептов]: ракушка «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Siren,[Рецепт|Рецепта|Рецептов]: сирена «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Speargun,[Рецепт|Рецепта|Рецептов]: гарпун «Зловещий жемчуг»
Recipe[s]: Sinister Pearl Stinger,[Рецепт|Рецепты|Рецептов]: Зловещий жемчужный стингер
Recipe[s]: Sinister Pearl Trident,[Рецепт|Рецепты|Рецептов]: Зловещий жемчужный трезубец
Recipe[s]: Skaaldsinger (Level 20),[Рецепт|Рецепты|Рецептов]: скаальдсингер (Уровень 20)
Recipe[s]: Skale Poking Stick,[Рецепт|Рецепты|Рецептов]: Скальный тыкательный посох
Recipe[s]: Skale Repeater,[Рецепт|Рецепты|Рецептов]: Скальный репитер
Recipe[s]: Slice of Allspice Cake,[Рецепт|Рецепты|Рецептов]: кусок пряного пирога
Recipe[s]: Slice of Allspice Cake with Ice Cream,[Рецепт|Рецепты|Рецептов]: кусок пряного пирога с мороженым
Recipe[s]: Slothasor Blue Mushroom,[Рецепт|Рецепты|Рецептов]: Синий гриб Слотасора
Recipe[s]: Slothasor Mushroom,[Рецепт|Рецепты|Рецептов]: Гриб Слотасора
Recipe[s]: Snow Diamond Ornament[s],[Рецепт|Рецепты|Рецептов]: [Снежный алмазный орнамент|Снежных алмазных орнамента|Снежных алмазных орнаментов]
Recipe[s]: Soros's Artifact,[Рецепт|Рецепты|Рецептов]: артефакт Сороса
Recipe[s]: Soros's Assassin Inscription,[Рецепт|Рецепты|Рецептов]: надпись убийцы Сороса
Recipe[s]: Soros's Bastion,[Рецепт|Рецепты|Рецептов]: Бастион Сороса
Recipe[s]: Soros's Blade,[Рецепт|Рецепты|Рецептов]: Клинок Сороса
Recipe[s]: Soros's Brazier,[Рецепт|Рецепты|Рецептов]: жаровня Сороса
Recipe[s]: Soros's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Сороса
Recipe[s]: Soros's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевый молот Сороса
Recipe[s]: Soros's Greatbow,[Рецепт|Рецепта|Рецептов]: Большой лук Сороса
Recipe[s]: Soros's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Сороса
Recipe[s]: Soros's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Сороса
Recipe[s]: Soros's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Сороса
Recipe[s]: Soros's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Сороса
Recipe[s]: Soros's Razor,[Рецепт|Рецепта|Рецептов]: бритва Сороса
Recipe[s]: Soros's Reaver,[Рецепт|Рецепта|Рецептов]: Опустошитель Сороса
Recipe[s]: Soros's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Сороса
Recipe[s]: Soros's Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук Сороса
Recipe[s]: Soros's Spire,[Рецепт|Рецепта|Рецептов]: Шпиль Сороса
Recipe[s]: Soros's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Сороса
Recipe[s]: Soros's Wand,[Рецепт|Рецепта|Рецептов]: жезл Сороса
Recipe[s]: Soros's Warhammer,[Рецепт|Рецепта|Рецептов]: Боевой молот Сороса
Recipe[s]: Soundless Warhorn,[Рецепт|Рецепта|Рецептов]: Беззвучный боевой рог
Recipe[s]: Sparrowcatcher (Level 13),[Рецепт|Рецепта|Рецептов]: Ловец воробьёв (Уровень 13)
Recipe[s]: Sparrowcatcher (Level 8),[Рецепт|Рецепта|Рецептов]: Ловец воробьёв (Уровень 8)
Recipe[s]: Spear,[Рецепт|Рецепта|Рецептов]: Копьё
Recipe[s]: Speargun,[Рецепт|Рецепта|Рецептов]: копьемёт
Recipe[s]: Spearmarshal's Boots,[Рецепт|Рецепта|Рецептов]: сапоги маршала копья
Recipe[s]: Spearmarshal's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник маршала копья
Recipe[s]: Spearmarshal's Cowl,[Рецепт|Рецепта|Рецептов]: капюшон маршала копья
Recipe[s]: Spearmarshal's Gauntlets,[Рецепт|Рецепта|Рецептов]: рукавицы маршала копья
Recipe[s]: Spearmarshal's Gloves,[Рецепт|Рецепта|Рецептов]: перчатки маршала копья
Recipe[s]: Spearmarshal's Greaves,[Рецепт|Рецепта|Рецептов]: поножи маршала копья
Recipe[s]: Spearmarshal's Helm,[Рецепт|Рецепта|Рецептов]: Шлем маршала копья
Recipe[s]: Spearmarshal's Jerkin,[Рецепт|Рецепта|Рецептов]: куртка маршала копья
Recipe[s]: Spearmarshal's Leggings,[Рецепт|Рецепта|Рецептов]: набедренники маршала копья
Recipe[s]: Spearmarshal's Mantle,[Рецепт|Рецепта|Рецептов]: мантия маршала копья
Recipe[s]: Spearmarshal's Mask,[Рецепт|Рецепта|Рецептов]: маска Маршала копья
Recipe[s]: Spearmarshal's Pants,[Рецепт|Рецепта|Рецептов]: Штаны Маршала копья
Recipe[s]: Spearmarshal's Pauldrons,[Рецепт|Рецепта|Рецептов]: Наплечники Маршала копья
Recipe[s]: Spearmarshal's Shoes,[Рецепт|Рецепта|Рецептов]: обувь Маршала копья
Recipe[s]: Spearmarshal's Shoulderpads,[Рецепт|Рецепта|Рецептов]: наплечные пластины Маршала копья
Recipe[s]: Spearmarshal's Tasset,[Рецепт|Рецепта|Рецептов]: набедренник Маршала копья
Recipe[s]: Spearmarshal's Vambraces,[Рецепт|Рецепта|Рецептов]: наручи Маршала копья
Recipe[s]: Spearmarshal's Vestments,[Рецепт|Рецепта|Рецептов]: облачение Маршала копья
Recipe[s]: Spero,[Рецепт|Рецепта|Рецептов]: сперо
Recipe[s]: Spicy Marinated Mushroom,[Рецепт|Рецепта|Рецептов]: острый маринованный гриб
Recipe[s]: Spicy Moa Wings,[Рецепт|Рецепта|Рецептов]: Острые крылья моа
Recipe[s]: Spicy Pumpkin Cookie,[Рецепт|Рецепта|Рецептов]: острое тыквенное печенье
Recipe[s]: Spirit Containment Unit,[Рецепт|Рецепта|Рецептов]: блок сдерживания духов
Recipe[s]: Spirobolidae,[Рецепт|Рецепта|Рецептов]: спироболиды
Recipe[s]: Sprocket Orichalcum Amulet,[Рецепт|Рецепта|Рецептов]: шестерёнчатый орихалковый амулет
Recipe[s]: Sprocket Orichalcum Earring,[Рецепт|Рецепта|Рецептов]: серьга из орихалка с шестеренками
Recipe[s]: Sprocket Orichalcum Ring,[Рецепт|Рецепта|Рецептов]: Кольцо из орихалка с шестеренками
Recipe[s]: Stable Fence,[Рецепт|Рецепта|Рецептов]: забор для стойла
Recipe[s]: Stable Pen,[Рецепт|Рецепта|Рецептов]: Загон для стойла
Recipe[s]: Stagsign (Level 20),[Рецепт|Рецепта|Рецептов]: Знак оленя (20-й уровень)
Recipe[s]: Stained Glass,[Рецепт|Рецепта|Рецептов]: витраж
Recipe[s]: Star Charter's Bag,[Рецепт|Рецепта|Рецептов]: сумка звёздного чартера
Recipe[s]: Statue of Grenth Token,[Рецепт|Рецепта|Рецептов]: жетон статуи Грента
Recipe[s]: Steak with Winterberry Sauce,[Рецепт|Рецепта|Рецептов]: стейк с соусом из зимней ягоды
Recipe[s]: Steelstar's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Стальной звезды
Recipe[s]: Steelstar's Bastion,[Рецепт|Рецепта|Рецептов]: Бастион Стальной звезды
Recipe[s]: Steelstar's Blade,[Рецепт|Рецепта|Рецептов]: Клинок Стальной звезды
Recipe[s]: Steelstar's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Стальной звезды
Recipe[s]: Steelstar's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник Стальной звезды
Recipe[s]: Steelstar's Breeches,[Рецепт|Рецепта|Рецептов]: Штаны Стальной звезды
Recipe[s]: Steelstar's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Стальной звезды
Recipe[s]: Steelstar's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Стальной звезды
Recipe[s]: Steelstar's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Стальной звезды
Recipe[s]: Steelstar's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Стальной звезды
Recipe[s]: Steelstar's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Стальной звезды
Recipe[s]: Steelstar's Greatbow,[Рецепт|Рецепта|Рецептов]: Большой лук Стальной звезды
Recipe[s]: Steelstar's Greaves,[Рецепт|Рецепта|Рецептов]: поножи Стальной звезды
Recipe[s]: Steelstar's Grips,[Рецепт|Рецепта|Рецептов]: наручи Стальной звезды
Recipe[s]: Steelstar's Guise,[Рецепт|Рецепта|Рецептов]: обличье Стальной звезды
Recipe[s]: Steelstar's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Стальной звезды
Recipe[s]: Steelstar's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Стальной звезды
Recipe[s]: Steelstar's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Стальной звезды
Recipe[s]: Steelstar's Inscription,[Рецепт|Рецепта|Рецептов]: надпись Стальной звезды
Recipe[s]: Steelstar's Insignia,[Рецепт|Рецепта|Рецептов]: Знак Стальной звезды
Recipe[s]: Steelstar's Leggings,[Рецепт|Рецепта|Рецептов]: Наголенники Стальной звезды
Recipe[s]: Steelstar's Masque,[Рецепт|Рецепта|Рецептов]: маска Стальной Звезды
Recipe[s]: Steelstar's Musket,[Рецепт|Рецепта|Рецептов]: винтовка Стальной Звезды
Recipe[s]: Steelstar's Pauldrons,[Рецепт|Рецепта|Рецептов]: нарамки Стальной Звезды
Recipe[s]: Steelstar's Razor,[Рецепт|Рецепта|Рецептов]: бритва Стальной Звезды
Recipe[s]: Steelstar's Reaver,[Рецепт|Рецепта|Рецептов]: Разрушитель Стальной Звезды
Recipe[s]: Steelstar's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Стальной Звезды
Recipe[s]: Steelstar's Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук Стальной Звезды
Recipe[s]: Steelstar's Shoulderguard,[Рецепт|Рецепта|Рецептов]: наплечник Стальной Звезды
Recipe[s]: Steelstar's Spire,[Рецепт|Рецепта|Рецептов]: Шпиль Стальной Звезды
Recipe[s]: Steelstar's Striders,[Рецепт|Рецепта|Рецептов]: походные сапоги Стальной Звезды
Recipe[s]: Steelstar's Tassets,[Рецепт|Рецепта|Рецептов]: Наплечники Стальной Звезды
Recipe[s]: Steelstar's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Стальной Звезды
Recipe[s]: Steelstar's Visage,[Рецепт|Рецепта|Рецептов]: лик Стальной Звезды
Recipe[s]: Steelstar's Visor,[Рецепт|Рецепта|Рецептов]: визор Стальной Звезды
Recipe[s]: Steelstar's Wand,[Рецепт|Рецепта|Рецептов]: Посох Стальной Звезды
Recipe[s]: Steelstar's Warfists,[Рецепт|Рецепта|Рецептов]: варфисты Стальной Звезды
Recipe[s]: Steelstar's Warhammer,[Рецепт|Рецепта|Рецептов]: Молот Стальной Звезды
Recipe[s]: Steelstar's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Стальной Звезды
Recipe[s]: Stellar Apparatus,[Рецепт|Рецепта|Рецептов]: звёздный механизм
Recipe[s]: Stellar Avenger,[Рецепт|Рецепта|Рецептов]: звёздный Мститель
Recipe[s]: Stellar Beacon,[Рецепт|Рецепта|Рецептов]: звёздный маяк
Recipe[s]: Stellar Cannon,[Рецепт|Рецепта|Рецептов]: Звёздная пушка
Recipe[s]: Stellar Cleaver,[Рецепт|Рецепта|Рецептов]: звёздный Топорик
Recipe[s]: Stellar Disk,[Рецепт|Рецепта|Рецептов]: звёздный диск
Recipe[s]: Stellar Harbinger,[Рецепт|Рецепта|Рецептов]: звёздный предвестник
Recipe[s]: Stellar Khopesh,[Рецепт|Рецепта|Рецептов]: звёздный хопеш
Recipe[s]: Stellar Knobkerrie,[Рецепт|Рецепта|Рецептов]: Астральная Кейн
Recipe[s]: Stellar Longbow,[Рецепт|Рецепта|Рецептов]: звёздный длинный лук
Recipe[s]: Stellar Orrery,[Рецепт|Рецепта|Рецептов]: Звёздная Сфира
Recipe[s]: Stellar Razor,[Рецепт|Рецепта|Рецептов]: звёздный Клинок
Recipe[s]: Stellar Revolver,[Рецепт|Рецепта|Рецептов]: звёздный револьвер
Recipe[s]: Stellar Scepter,[Рецепт|Рецепта|Рецептов]: звёздный скипетр
Recipe[s]: Stellar Short Bow,[Рецепт|Рецепта|Рецептов]: звёздный короткий лук
Recipe[s]: Stellar Spire,[Рецепт|Рецепта|Рецептов]: звёздный шпиль
Recipe[s]: Sticky Bread,[Рецепт|Рецепта|Рецептов]: липкий хлеб
Recipe[s]: Stiletto Jodhpurs (Level 71),[Рецепт|Рецепта|Рецептов]: бриджи «Стилетто» (Уровень 71)
Recipe[s]: Stonecleaver's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Камнедробителя
Recipe[s]: Stonecleaver's Bastion,[Рецепт|Рецепта|Рецептов]: Бастион Камнедробителя
Recipe[s]: Stonecleaver's Blade,[Рецепт|Рецепта|Рецептов]: Клинок Камнедробителя
Recipe[s]: Stonecleaver's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Камнедробителя
Recipe[s]: Stonecleaver's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Камнедробителя
Recipe[s]: Stonecleaver's Flanged Mace,[Рецепт|Рецепта|Рецептов]: булава с фланцами Камнедробителя
Recipe[s]: Stonecleaver's Greatbow,[Рецепт|Рецепта|Рецептов]: Большой лук Камнедробителя
Recipe[s]: Stonecleaver's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Камнедробителя
Recipe[s]: Stonecleaver's Herald,[Рецепт|Рецепта|Рецептов]: геральд Камнедробителя
Recipe[s]: Stonecleaver's Impaler,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Пронзатель»
Recipe[s]: Stonecleaver's Musket,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Мушкет»
Recipe[s]: Stonecleaver's Razor,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Бритва»
Recipe[s]: Stonecleaver's Reaver,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Опустошитель»
Recipe[s]: Stonecleaver's Revolver,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Револьвер»
Recipe[s]: Stonecleaver's Short Bow,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Короткий лук»
Recipe[s]: Stonecleaver's Spire,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Шпиль»
Recipe[s]: Stonecleaver's Trident,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Трезубец»
Recipe[s]: Stonecleaver's Valkyrie Inscription,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Надпись валькирии»
Recipe[s]: Stonecleaver's Wand,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Жезл»
Recipe[s]: Stonecleaver's Warhammer,[Рецепт|Рецепта|Рецептов] «Дробильщика камней: Боевой молот»
Recipe[s]: Storm's Eye Axe,[Рецепт|Рецепта|Рецептов] «Око бури: Секира»
Recipe[s]: Storm's Eye Dagger,[Рецепт|Рецепта|Рецептов] «Око бури: Кинжал»
Recipe[s]: Storm's Eye Focus,[Рецепт|Рецепта|Рецептов] «Око бури: Фокус»
Recipe[s]: Storm's Eye Greatsword,[Рецепт|Рецепта|Рецептов] «Око бури: Большой меч»
Recipe[s]: Storm's Eye Hammer,[Рецепт|Рецепта|Рецептов]: Молот «Глаз Бури»
Recipe[s]: Storm's Eye Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук Глаза Бури
Recipe[s]: Storm's Eye Mace,[Рецепт|Рецепта|Рецептов]: булава «Глаз Бури»
Recipe[s]: Storm's Eye Pistol,[Рецепт|Рецепта|Рецептов]: пистолет Глаза Бури
Recipe[s]: Storm's Eye Rifle,[Рецепт|Рецепта|Рецептов]: винтовка Глаза Бури
Recipe[s]: Storm's Eye Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр Глаза Бури
Recipe[s]: Storm's Eye Shield,[Рецепт|Рецепта|Рецептов]: Щит «Глаз бури»
Recipe[s]: Storm's Eye Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук «Глаз Бури»
Recipe[s]: Storm's Eye Staff,[Рецепт|Рецепта|Рецептов]: Посох Глаза Бури
Recipe[s]: Storm's Eye Sword,[Рецепт|Рецепта|Рецептов]: Меч «Глаз Бури»
Recipe[s]: Storm's Eye Torch,[Рецепт|Рецепта|Рецептов]: Факел «Глаз Бури»
Recipe[s]: Storm's Eye Warhorn,[Рецепт|Рецепта|Рецептов]: Рог Глаза Бури
Recipe[s]: Stormcaller Axe,[Рецепт|Рецепта|Рецептов]: топор Призывателя Бури
Recipe[s]: Stormcaller Core,[Рецепт|Рецепта|Рецептов]: Ядро Позыва бури
Recipe[s]: Stormcaller Dagger,[Рецепт|Рецепта|Рецептов]: кинжал «Призыватель бури»
Recipe[s]: Stormcaller Focus,[Рецепт|Рецепта|Рецептов]: Фокус «Призывающий бурю»
